card_number,country_code,merchant,amount,mcc
card_372,USA,Kohls,412.29,Retail
card_373,USA,Bed Bath & Beyond,894.63,Retail
card_270,USA,Bloomingdales,233.8,Retail
card_214,USA,Uber,217.04,Retail
card_163,USA,Zara,35.98,Retail
card_23,USA,Booking.com,994.92,Hotels
card_276,USA,Apple,1905.78,Technology
card_167,USA,Burger King,260.66,Restaurants
card_412,USA,Five Guys,147.23,Restaurants
card_147,USA,Shake Shack,290.78,Restaurants
card_275,USA,Southwest Airlines,319.01,Travel
card_378,USA,Hilton,1309.5,Hotels
card_119,USA,H&M,777.71,Retail
card_134,USA,Starbucks,233.57,Restaurants
card_491,USA,IKEA,845.56,Retail
card_281,USA,Expedia,1153.48,Hotels
card_139,USA,Comcast,628.09,Telecom
card_369,USA,Shopify,10.91,E-commerce
card_56,USA,Nike,37.36,Retail
card_449,USA,Safeway,277.05,Groceries
card_240,USA,Shake Shack,188.83,Restaurants
card_400,USA,Netflix,40.84,Streaming
card_9,ARE,Emirates,748.21,Travel
card_275,ARE,Emirates,220.1,Travel
card_84,USA,Verizon,129.56,Telecom
card_314,USA,Delta Air Lines,1044.07,Travel
card_52,USA,Starbucks,134.79,Restaurants
card_351,USA,Netflix,14.02,Streaming
card_73,USA,Kohls,494.14,Retail
card_29,USA,Costco,28.62,Groceries
card_77,USA,Starbucks,178.77,Restaurants
card_51,USA,Hilton,440.04,Hotels
card_242,USA,United Airlines,1206.46,Travel
card_17,GBR,BP,82.76,Energy
card_178,USA,Bed Bath & Beyond,457.94,Retail
card_12,USA,Adidas,16.56,Retail
card_460,USA,Ticketmaster,77.08,Ticketing
card_427,USA,General Motors,2023.22,Automotive
card_465,ARE,Emirates,745.91,Travel
card_448,USA,Hilton,920.03,Hotels
card_219,USA,Publix,94.58,Groceries
card_288,USA,Booking.com,1057.72,Hotels
card_409,USA,Bed Bath & Beyond,860.82,Retail
card_445,USA,Walmart,236.16,Groceries
card_217,GBR,BP,36.74,Energy
card_243,USA,Nike,483.1,Retail
card_67,DEU,Lidl,40.43,Groceries
card_474,GBR,Tesco,80.19,Groceries
card_241,USA,Regal Cinemas,49.4,Streaming
card_445,USA,Nordstrom,146.78,Retail
card_444,USA,Nordstrom,501.39,Retail
card_407,USA,Ross Stores,620.06,Retail
card_496,USA,Booking.com,1068.57,Hotels
card_68,GBR,BP,125.14,Energy
card_184,USA,InterContinental Hotels,64.17,Hotels
card_70,USA,General Motors,1699.66,Automotive
card_421,USA,Nike,520.12,Retail
card_277,GBR,BP,44.94,Energy
card_100,USA,American Airlines,558.41,Travel
card_39,USA,Macys,38.04,Retail
card_160,USA,American Airlines,163.94,Travel
card_148,ARE,Emirates,625.54,Travel
card_80,USA,Apple,750.31,Technology
card_495,USA,Wendys,174.59,Restaurants
card_273,HKG,Cathay Pacific,1049.72,Travel
card_470,USA,Starbucks,242.17,Restaurants
card_60,USA,Ford,1080.74,Automotive
card_119,USA,Airbnb,292.85,Hotels
card_396,USA,Costco,40.32,Groceries
card_428,GBR,British Airways,972.82,Travel
card_419,USA,TJX Companies,707.94,Retail
card_60,USA,Chevron,35.37,Energy
card_309,USA,Whole Foods,281.5,Groceries
card_265,USA,Costco,25.07,Groceries
card_448,USA,Saks Fifth Avenue,543.59,Retail
card_31,USA,Universal Parks,36.91,Streaming
card_440,USA,Target,262.58,Groceries
card_46,USA,Disney,37.13,Streaming
card_93,USA,Zara,802.72,Retail
card_262,USA,Dunkin,108.44,Restaurants
card_210,USA,T-Mobile,815.75,Telecom
card_156,USA,Pizza Hut,33.23,Restaurants
card_243,USA,Safeway,269.5,Groceries
card_413,USA,H&M,549.85,Retail
card_351,USA,Zara,818.21,Retail
card_401,USA,AMC Theatres,25.35,Streaming
card_252,USA,Shake Shack,196.64,Restaurants
card_2,USA,Safeway,162.66,Groceries
card_293,USA,Uniqlo,732.93,Retail
card_305,USA,Shopify,8.67,E-commerce
card_417,USA,Adidas,65.05,Retail
card_202,GBR,BP,72.01,Energy
card_54,USA,Netflix,12.18,Streaming
card_386,USA,T-Mobile,872.42,Telecom
card_249,USA,H&M,223.12,Retail
card_30,USA,CVS Health,975.99,Retail
card_389,USA,Burger King,107.7,Restaurants
card_245,USA,Universal Parks,13.2,Streaming
card_359,USA,Wendys,239.01,Restaurants
card_475,USA,Lowes,660.41,Retail
card_40,USA,Publix,154.48,Groceries
card_40,USA,Netflix,29.99,Streaming
card_144,USA,InterContinental Hotels,1092.84,Hotels
card_227,USA,Uber,232.31,Retail
card_128,USA,Zara,996.35,Retail
card_251,USA,Zara,974.92,Retail
card_359,USA,Expedia,992.97,Hotels
card_134,USA,Shopify,13.98,E-commerce
card_12,USA,General Motors,3433.12,Automotive
card_3,ARE,Emirates,154.69,Travel
card_75,USA,InterContinental Hotels,94.45,Hotels
card_465,USA,PayPal,1362.65,Technology
card_127,USA,Verizon,465.31,Telecom
card_329,USA,Comcast,868.93,Telecom
card_458,USA,General Motors,3663.13,Automotive
card_402,USA,AMC Theatres,38.42,Streaming
card_373,USA,Bed Bath & Beyond,428.37,Retail
card_76,GBR,British Airways,551.61,Travel
card_122,USA,Google,1918.09,Technology
card_468,USA,ExxonMobil,197.9,Energy
card_108,USA,Gap Inc,44.91,Retail
card_399,USA,Delta Air Lines,1307.2,Travel
card_486,USA,Hilton,889.08,Hotels
card_245,USA,Booking.com,685.99,Hotels
card_449,USA,Pizza Hut,220.32,Restaurants
card_118,GBR,Tesco,151.13,Groceries
card_440,USA,Netflix,44.3,Streaming
card_316,USA,Etsy,45.53,E-commerce
card_340,USA,Ford,2166.43,Automotive
card_495,USA,Ford,1456.46,Automotive
card_215,USA,Pizza Hut,181.78,Restaurants
card_484,USA,Walgreens,912.8,Retail
card_441,USA,Adidas,214.61,Retail
card_487,USA,Whole Foods,190.66,Groceries
card_426,USA,AT&T,633.4,Telecom
card_238,USA,Best Buy,734.45,Retail
card_87,GBR,British Airways,240.77,Travel
card_39,USA,Walgreens,717.25,Retail
card_32,USA,Bed Bath & Beyond,909.49,Retail
card_119,USA,Hyatt,310.54,Hotels
card_33,USA,Zara,241.36,Retail
card_186,USA,Marriott International,1458.52,Hotels
card_489,GBR,British Airways,312.42,Travel
card_324,USA,Shopify,43.45,E-commerce
card_438,USA,Chipotle,152.76,Restaurants
card_133,USA,Ross Stores,250.99,Retail
card_357,USA,Amazon,44.18,E-commerce
card_36,USA,Adidas,448.08,Retail
card_100,USA,Subway,159.3,Restaurants
card_36,USA,Ford,1860.24,Automotive
card_77,USA,Ross Stores,594.99,Retail
card_290,USA,H&M,167.71,Retail
card_256,USA,Williams-Sonoma,394.13,Retail
card_179,USA,Ross Stores,969.57,Retail
card_355,USA,American Airlines,424.29,Travel
card_79,USA,Comcast,658.45,Telecom
card_381,USA,Expedia,521.53,Hotels
card_137,USA,Uniqlo,774.61,Retail
card_176,USA,Whole Foods,47.95,Groceries
card_66,USA,AMC Theatres,48.64,Streaming
card_241,USA,Safeway,141.6,Groceries
card_113,USA,Adidas,239.87,Retail
card_14,USA,Chipotle,31.31,Restaurants
card_302,USA,Marriott International,296.15,Hotels
card_25,DEU,Aldi,160.73,Groceries
card_376,USA,Adidas,340.32,Retail
card_127,USA,Macys,829.74,Retail
card_363,USA,Dunkin,134.96,Restaurants
card_171,USA,Subway,82.13,Restaurants
card_430,USA,Comcast,619.06,Telecom
card_6,USA,Verizon,708.24,Telecom
card_164,USA,IKEA,171.21,Retail
card_357,USA,ExxonMobil,58.5,Energy
card_221,USA,Chevron,36.23,Energy
card_344,USA,Ford,3708.37,Automotive
card_269,USA,General Motors,3352.64,Automotive
card_120,USA,Whole Foods,147.64,Groceries
card_9,USA,Southwest Airlines,1274.05,Travel
card_329,USA,CVS Health,806.64,Retail
card_430,USA,Southwest Airlines,898.76,Travel
card_430,USA,Dominos Pizza,261.8,Restaurants
card_454,USA,American Airlines,348.47,Travel
card_375,USA,ExxonMobil,49.03,Energy
card_88,USA,Ross Stores,273.4,Retail
card_113,USA,Pizza Hut,26.56,Restaurants
card_454,USA,Booking.com,820.2,Hotels
card_218,USA,Marriott International,1408.08,Hotels
card_127,DEU,Aldi,21.41,Groceries
card_51,USA,Panera Bread,45.41,Restaurants
card_133,USA,Lululemon,454.94,Retail
card_79,DEU,Lidl,280.82,Groceries
card_410,USA,Verizon,319.58,Telecom
card_12,USA,Walgreens,509.7,Retail
card_235,USA,Ford,303.71,Automotive
card_192,USA,Booking.com,265.1,Hotels
card_72,USA,Shake Shack,296.12,Restaurants
card_79,USA,Shake Shack,289.88,Restaurants
card_430,USA,Uniqlo,9.92,Retail
card_296,USA,United Airlines,1430.13,Travel
card_43,USA,Disney,33.76,Streaming
card_265,USA,Gap Inc,868.58,Retail
card_432,JPN,Toyota,2328.23,Automotive
card_96,USA,Ford,2626.42,Automotive
card_453,USA,Wendys,151.77,Restaurants
card_11,DEU,Aldi,203.39,Groceries
card_236,USA,Trader Joes,50.5,Groceries
card_54,USA,Target,18.69,Groceries
card_81,USA,Panera Bread,99.3,Restaurants
card_471,USA,InterContinental Hotels,1071.79,Hotels
card_401,USA,Dominos Pizza,68.54,Restaurants
card_72,USA,eBay,35.3,E-commerce
card_14,GBR,Tesco,291.27,Groceries
card_468,USA,Ross Stores,98.43,Retail
card_80,USA,Ticketmaster,674.24,Ticketing
card_412,FRA,Air France-KLM,693.44,Travel
card_342,USA,Target,261.76,Groceries
card_201,USA,Bloomingdales,181.26,Retail
card_499,USA,AMC Theatres,36.17,Streaming
card_422,USA,Netflix,42.72,Streaming
card_439,USA,PayPal,4728.61,Technology
card_489,USA,Walgreens,684.83,Retail
card_397,SGP,Singapore Airlines,770.9,Travel
card_454,GBR,Tesco,189.18,Groceries
card_459,FRA,Air France-KLM,1309.91,Travel
card_427,USA,Costco,175.48,Groceries
card_498,USA,Papa Johns,18.81,Restaurants
card_22,USA,Gap Inc,931.29,Retail
card_312,USA,Burger King,209.96,Restaurants
card_9,USA,The Home Depot,678.13,Retail
card_30,USA,Tesla,1156.81,Automotive
card_394,USA,ExxonMobil,142.01,Energy
card_46,USA,Trader Joes,124.22,Groceries
card_132,USA,Ticketmaster,652.98,Ticketing
card_294,USA,McDonalds,40.91,Restaurants
card_275,USA,Chevron,141.83,Energy
card_429,USA,McDonalds,299.83,Restaurants
card_377,USA,Comcast,52.97,Telecom
card_68,USA,Safeway,293.38,Groceries
card_407,USA,Taco Bell,128.0,Restaurants
card_84,USA,Best Buy,871.4,Retail
card_38,USA,Apple,3933.69,Technology
card_348,USA,Booking.com,872.17,Hotels
card_181,USA,Booking.com,1120.75,Hotels
card_412,USA,Southwest Airlines,1323.85,Travel
card_404,USA,Subway,127.2,Restaurants
card_273,USA,Disney,19.72,Streaming
card_276,USA,Saks Fifth Avenue,669.26,Retail
card_388,USA,Trader Joes,244.28,Groceries
card_495,USA,Universal Parks,39.3,Streaming
card_63,USA,ExxonMobil,165.63,Energy
card_260,USA,Five Guys,136.32,Restaurants
card_164,JPN,Toyota,4107.39,Automotive
card_108,USA,Taco Bell,44.86,Restaurants
card_102,USA,KFC,167.9,Restaurants
card_176,USA,Booking.com,58.35,Hotels
card_106,USA,Five Guys,104.13,Restaurants
card_426,USA,Pizza Hut,116.27,Restaurants
card_457,USA,Airbnb,624.45,Hotels
card_303,USA,Dunkin,211.69,Restaurants
card_45,USA,Adidas,391.62,Retail
card_474,GBR,Tesco,140.12,Groceries
card_83,USA,Starbucks,78.89,Restaurants
card_251,USA,Dominos Pizza,118.24,Restaurants
card_348,USA,InterContinental Hotels,379.54,Hotels
card_166,USA,Southwest Airlines,156.13,Travel
card_312,USA,Airbnb,925.0,Hotels
card_442,USA,Bed Bath & Beyond,669.87,Retail
card_7,USA,Burger King,189.65,Restaurants
card_433,USA,KFC,144.41,Restaurants
card_467,USA,United Airlines,600.69,Travel
card_252,USA,Regal Cinemas,43.85,Streaming
card_190,USA,Ross Stores,521.49,Retail
card_130,USA,Macys,481.79,Retail
card_38,USA,Adidas,30.51,Retail
card_407,USA,Papa Johns,108.96,Restaurants
card_398,USA,Disney,22.11,Streaming
card_23,USA,Lowes,401.83,Retail
card_236,USA,McDonalds,178.25,Restaurants
card_40,USA,Chipotle,164.74,Restaurants
card_83,DEU,Lufthansa,931.46,Travel
card_57,USA,The Home Depot,766.06,Retail
card_133,USA,Google,4083.63,Technology
card_462,USA,Delta Air Lines,1091.28,Travel
card_321,USA,Target,287.1,Groceries
card_453,USA,Southwest Airlines,76.44,Travel
card_94,USA,Wendys,66.78,Restaurants
card_108,USA,Trader Joes,12.19,Groceries
card_106,USA,IKEA,649.24,Retail
card_295,SGP,Singapore Airlines,1352.14,Travel
card_254,USA,Shopify,15.96,E-commerce
card_423,FRA,Carrefour,278.84,Groceries
card_455,USA,Tesla,395.31,Automotive
card_102,USA,Trader Joes,280.99,Groceries
card_9,USA,McDonalds,111.97,Restaurants
card_481,FRA,Air France-KLM,197.06,Travel
card_366,USA,Comcast,488.44,Telecom
card_423,USA,Kohls,260.49,Retail
card_361,USA,Ford,1495.88,Automotive
card_345,USA,Trader Joes,99.11,Groceries
card_99,USA,Chevron,166.51,Energy
card_423,USA,Safeway,166.36,Groceries
card_175,USA,Target,100.28,Groceries
card_356,USA,T-Mobile,612.28,Telecom
card_397,USA,American Airlines,1088.42,Travel
card_191,USA,ExxonMobil,76.35,Energy
card_290,USA,H&M,416.48,Retail
card_490,USA,Comcast,126.28,Telecom
card_452,USA,PayPal,987.63,Technology
card_496,JPN,Toyota,3437.48,Automotive
card_347,USA,ExxonMobil,60.84,Energy
card_130,USA,Publix,162.3,Groceries
card_176,USA,Zara,710.5,Retail
card_252,USA,KFC,40.99,Restaurants
card_305,USA,Regal Cinemas,30.53,Streaming
card_116,USA,Uber,260.28,Retail
card_451,USA,Chick-fil-A,289.25,Restaurants
card_436,USA,AT&T,486.13,Telecom
card_412,USA,Expedia,1218.69,Hotels
card_266,USA,Neiman Marcus,552.48,Retail
card_304,USA,General Motors,312.72,Automotive
card_143,USA,Best Buy,634.99,Retail
card_408,ARE,Emirates,1429.53,Travel
card_387,USA,Google,3047.9,Technology
card_17,USA,Hyatt,1237.82,Hotels
card_120,USA,Verizon,884.79,Telecom
card_247,USA,Trader Joes,76.14,Groceries
card_247,USA,Kohls,215.98,Retail
card_23,USA,Kroger,187.18,Groceries
card_74,USA,The Home Depot,413.97,Retail
card_184,USA,Netflix,42.79,Streaming
card_215,USA,ExxonMobil,183.0,Energy
card_401,USA,Safeway,112.49,Groceries
card_65,USA,Amazon,15.66,E-commerce
card_363,USA,Macys,781.62,Retail
card_19,USA,Best Buy,278.43,Retail
card_46,USA,American Airlines,1242.79,Travel
card_171,USA,TJX Companies,426.62,Retail
card_419,USA,Walmart,203.59,Groceries
card_451,USA,Bed Bath & Beyond,100.06,Retail
card_206,USA,Disney,33.07,Streaming
card_91,USA,Expedia,705.06,Hotels
card_33,USA,The Home Depot,588.68,Retail
card_388,DEU,Aldi,58.72,Groceries
card_9,DEU,Lufthansa,1118.47,Travel
card_51,USA,TJX Companies,863.48,Retail
card_335,USA,TJX Companies,220.66,Retail
card_269,USA,Amazon,9.31,E-commerce
card_396,USA,Macys,28.52,Retail
card_223,USA,Ticketmaster,643.76,Ticketing
card_75,USA,Southwest Airlines,930.29,Travel
card_490,HKG,Cathay Pacific,842.71,Travel
card_345,USA,KFC,77.26,Restaurants
card_67,USA,Adidas,393.95,Retail
card_292,USA,ExxonMobil,131.06,Energy
card_264,USA,Disney,27.35,Streaming
card_384,USA,InterContinental Hotels,1482.29,Hotels
card_90,USA,Booking.com,247.84,Hotels
card_154,USA,Dominos Pizza,211.59,Restaurants
card_473,DEU,Aldi,127.25,Groceries
card_203,USA,American Airlines,670.89,Travel
card_392,USA,Five Guys,218.1,Restaurants
card_226,USA,American Airlines,1054.03,Travel
card_204,USA,Airbnb,1487.32,Hotels
card_467,USA,Nordstrom,132.75,Retail
card_198,USA,IKEA,108.59,Retail
card_469,USA,Adidas,725.72,Retail
card_126,GBR,BP,128.33,Energy
card_200,USA,Wendys,89.51,Restaurants
card_55,USA,Lowes,84.02,Retail
card_332,USA,Saks Fifth Avenue,90.23,Retail
card_383,ARE,Emirates,1346.58,Travel
card_208,USA,Pizza Hut,65.64,Restaurants
card_500,USA,Apple,1684.52,Technology
card_454,USA,Walmart,75.73,Groceries
card_118,USA,TJX Companies,358.22,Retail
card_247,USA,Lululemon,74.08,Retail
card_131,USA,Disney,28.36,Streaming
card_9,DEU,Aldi,29.61,Groceries
card_338,DEU,Aldi,242.1,Groceries
card_276,USA,American Airlines,388.88,Travel
card_42,USA,Zara,542.31,Retail
card_424,USA,Whole Foods,265.22,Groceries
card_434,USA,Target,198.75,Groceries
card_72,JPN,Toyota,2711.49,Automotive
card_416,GBR,BP,85.14,Energy
card_186,USA,Neiman Marcus,336.34,Retail
card_36,USA,Subway,204.15,Restaurants
card_321,USA,AT&T,994.17,Telecom
card_264,USA,Kohls,663.53,Retail
card_3,USA,Nike,559.99,Retail
card_287,USA,Taco Bell,221.89,Restaurants
card_340,USA,Tesla,2379.51,Automotive
card_140,USA,Nordstrom,64.84,Retail
card_179,USA,Google,2855.25,Technology
card_51,USA,Comcast,957.84,Telecom
card_487,DEU,Lidl,60.84,Groceries
card_455,USA,United Airlines,1050.51,Travel
card_357,USA,Uber,204.93,Retail
card_101,USA,AMC Theatres,29.11,Streaming
card_131,USA,Subway,38.04,Restaurants
card_347,USA,IKEA,453.12,Retail
card_402,USA,Tesla,3805.2,Automotive
card_85,USA,InterContinental Hotels,553.98,Hotels
card_319,DEU,Lidl,202.82,Groceries
card_202,USA,TJX Companies,796.47,Retail
card_336,USA,The Home Depot,927.54,Retail
card_364,USA,Pizza Hut,78.05,Restaurants
card_492,USA,Chipotle,125.8,Restaurants
card_276,USA,Shopify,11.86,E-commerce
card_440,DEU,Lidl,297.82,Groceries
card_218,USA,Universal Parks,46.72,Streaming
card_488,GBR,British Airways,832.94,Travel
card_287,USA,McDonalds,254.19,Restaurants
card_415,USA,Subway,161.08,Restaurants
card_386,USA,The Home Depot,625.47,Retail
card_493,USA,Adidas,93.68,Retail
card_297,USA,Wayfair,38.99,E-commerce
card_252,USA,Comcast,132.07,Telecom
card_423,USA,Wendys,249.56,Restaurants
card_200,USA,Lowes,783.12,Retail
card_288,USA,Etsy,36.89,E-commerce
card_231,ARE,Emirates,102.43,Travel
card_406,USA,Whole Foods,97.91,Groceries
card_185,USA,Spotify,16.84,Streaming
card_156,USA,Ford,1864.67,Automotive
card_177,ARE,Emirates,177.08,Travel
card_443,USA,Hyatt,1408.59,Hotels
card_205,USA,Booking.com,853.01,Hotels
card_394,USA,Lowes,309.0,Retail
card_251,USA,TJX Companies,400.0,Retail
card_467,USA,Amazon,25.12,E-commerce
card_416,USA,Regal Cinemas,32.03,Streaming
card_17,USA,Lowes,518.1,Retail
card_324,USA,Nike,919.8,Retail
card_348,USA,Hilton,770.6,Hotels
card_99,USA,American Airlines,1488.63,Travel
card_84,USA,Marriott International,1284.57,Hotels
card_175,USA,Chevron,65.45,Energy
card_99,USA,PayPal,4659.92,Technology
card_192,GBR,British Airways,218.73,Travel
card_378,USA,Verizon,818.36,Telecom
card_209,USA,Google,1965.05,Technology
card_306,USA,Charter Communications,878.58,Telecom
card_195,USA,H&M,868.72,Retail
card_260,FRA,Air France-KLM,1218.59,Travel
card_344,USA,Comcast,791.08,Telecom
card_365,USA,Chevron,81.8,Energy
card_142,USA,Southwest Airlines,167.33,Travel
card_349,USA,Dominos Pizza,126.86,Restaurants
card_395,USA,CVS Health,177.66,Retail
card_166,USA,Tesla,3505.26,Automotive
card_323,USA,Panera Bread,110.37,Restaurants
card_15,USA,Marriott International,1464.63,Hotels
card_29,USA,Pizza Hut,195.88,Restaurants
card_326,USA,Ticketmaster,823.37,Ticketing
card_395,FRA,Carrefour,48.43,Groceries
card_437,USA,Tesla,4323.87,Automotive
card_64,USA,Apple,4621.51,Technology
card_490,USA,Subway,151.25,Restaurants
card_377,USA,Panera Bread,185.81,Restaurants
card_222,USA,Regal Cinemas,39.42,Streaming
card_466,USA,Target,60.7,Groceries
card_128,USA,Netflix,27.62,Streaming
card_426,USA,Regal Cinemas,22.94,Streaming
card_21,USA,Disney,11.59,Streaming
card_197,USA,Zara,370.7,Retail
card_473,USA,Expedia,148.85,Hotels
card_25,USA,T-Mobile,30.68,Telecom
card_276,USA,Google,762.31,Technology
card_255,FRA,Air France-KLM,1446.52,Travel
card_328,USA,Taco Bell,169.36,Restaurants
card_92,USA,Dunkin,290.09,Restaurants
card_287,USA,Papa Johns,135.42,Restaurants
card_145,FRA,Carrefour,100.43,Groceries
card_281,USA,Bloomingdales,508.61,Retail
card_466,USA,Airbnb,687.29,Hotels
card_228,USA,Pizza Hut,40.64,Restaurants
card_10,USA,The Home Depot,642.62,Retail
card_5,USA,Shopify,14.72,E-commerce
card_456,USA,eBay,32.88,E-commerce
card_235,USA,Southwest Airlines,992.79,Travel
card_28,USA,Burger King,54.09,Restaurants
card_435,GBR,British Airways,138.96,Travel
card_470,USA,Lowes,781.86,Retail
card_292,USA,Panera Bread,143.34,Restaurants
card_31,USA,Bloomingdales,62.87,Retail
card_92,USA,Five Guys,298.51,Restaurants
card_213,USA,Hilton,133.78,Hotels
card_436,USA,Apple,3505.67,Technology
card_108,FRA,Air France-KLM,1476.33,Travel
card_334,USA,Neiman Marcus,242.98,Retail
card_314,USA,Costco,51.25,Groceries
card_314,USA,Nordstrom,125.78,Retail
card_56,USA,Tesla,1586.05,Automotive
card_359,USA,Kroger,39.3,Groceries
card_437,USA,General Motors,3491.59,Automotive
card_431,USA,American Airlines,140.32,Travel
card_430,USA,Publix,157.73,Groceries
card_323,USA,Expedia,1495.21,Hotels
card_176,USA,Booking.com,1230.26,Hotels
card_498,USA,Target,188.41,Groceries
card_9,USA,Dominos Pizza,98.81,Restaurants
card_465,GBR,British Airways,954.65,Travel
card_98,USA,Southwest Airlines,814.21,Travel
card_218,USA,Kohls,428.95,Retail
card_415,USA,CVS Health,135.06,Retail
card_5,DEU,Lufthansa,1335.58,Travel
card_254,USA,Shopify,25.24,E-commerce
card_306,JPN,Toyota,1053.65,Automotive
card_89,USA,Google,1902.02,Technology
card_108,USA,Bed Bath & Beyond,417.06,Retail
card_268,USA,Universal Parks,42.24,Streaming
card_108,USA,Five Guys,222.75,Restaurants
card_66,USA,eBay,39.62,E-commerce
card_487,USA,Booking.com,66.0,Hotels
card_5,USA,Saks Fifth Avenue,419.07,Retail
card_82,USA,T-Mobile,483.94,Telecom
card_370,USA,Panera Bread,15.57,Restaurants
card_3,FRA,Carrefour,85.35,Groceries
card_48,USA,Bed Bath & Beyond,761.49,Retail
card_283,ARE,Emirates,248.81,Travel
card_50,USA,The Home Depot,537.63,Retail
card_409,USA,CVS Health,219.13,Retail
card_237,USA,Nike,17.06,Retail
card_413,USA,Comcast,245.0,Telecom
card_172,USA,Ticketmaster,975.99,Ticketing
card_101,USA,Ticketmaster,802.53,Ticketing
card_34,USA,Chevron,193.13,Energy
card_296,DEU,Lufthansa,757.39,Travel
card_79,USA,Lowes,114.19,Retail
card_68,GBR,BP,123.15,Energy
card_101,USA,Target,141.77,Groceries
card_270,USA,Chevron,173.54,Energy
card_443,USA,AMC Theatres,9.41,Streaming
card_48,USA,Walgreens,490.8,Retail
card_475,USA,Hilton,267.57,Hotels
card_50,USA,Costco,104.16,Groceries
card_207,USA,Nike,738.67,Retail
card_458,USA,Target,148.05,Groceries
card_90,USA,T-Mobile,379.01,Telecom
card_32,USA,Williams-Sonoma,397.5,Retail
card_59,USA,Walgreens,462.15,Retail
card_116,USA,Chipotle,237.65,Restaurants
card_254,USA,Trader Joes,268.7,Groceries
card_288,USA,Amazon,47.99,E-commerce
card_150,USA,Neiman Marcus,787.97,Retail
card_145,USA,Macys,318.83,Retail
card_397,USA,United Airlines,1047.8,Travel
card_129,USA,Dominos Pizza,136.9,Restaurants
card_155,USA,T-Mobile,258.4,Telecom
card_212,USA,Target,253.85,Groceries
card_74,USA,Verizon,43.23,Telecom
card_415,USA,Universal Parks,45.58,Streaming
card_277,USA,Kroger,143.83,Groceries
card_259,USA,Netflix,33.67,Streaming
card_288,USA,T-Mobile,661.06,Telecom
card_13,SGP,Singapore Airlines,1347.92,Travel
card_447,USA,Papa Johns,194.63,Restaurants
card_192,FRA,Carrefour,188.04,Groceries
card_318,USA,Macys,71.32,Retail
card_107,GBR,BP,118.13,Energy
card_242,USA,T-Mobile,154.42,Telecom
card_441,USA,Wayfair,38.18,E-commerce
card_28,USA,Kohls,514.66,Retail
card_325,SGP,Singapore Airlines,1036.33,Travel
card_265,USA,InterContinental Hotels,110.43,Hotels
card_178,USA,H&M,89.37,Retail
card_242,USA,Adidas,717.74,Retail
card_412,USA,Macys,76.72,Retail
card_304,USA,Safeway,30.66,Groceries
card_206,USA,Disney,5.54,Streaming
card_56,USA,Five Guys,287.39,Restaurants
card_493,USA,Netflix,38.19,Streaming
card_470,USA,Panera Bread,112.44,Restaurants
card_407,USA,AMC Theatres,18.34,Streaming
card_320,SGP,Singapore Airlines,557.07,Travel
card_145,USA,Expedia,1173.25,Hotels
card_333,SGP,Singapore Airlines,1008.99,Travel
card_159,USA,Starbucks,63.71,Restaurants
card_86,USA,Shell,59.6,Energy
card_45,USA,Kroger,38.53,Groceries
card_325,USA,H&M,662.0,Retail
card_100,USA,InterContinental Hotels,1158.34,Hotels
card_132,DEU,Aldi,86.86,Groceries
card_13,USA,Universal Parks,5.94,Streaming
card_217,USA,Zara,86.76,Retail
card_304,USA,Bloomingdales,968.02,Retail
card_40,USA,Burger King,95.68,Restaurants
card_399,USA,Whole Foods,233.07,Groceries
card_10,FRA,Air France-KLM,955.76,Travel
card_499,USA,Ticketmaster,385.03,Ticketing
card_53,USA,Ticketmaster,209.66,Ticketing
card_361,HKG,Cathay Pacific,226.01,Travel
card_323,USA,KFC,188.35,Restaurants
card_68,USA,Hilton,1173.22,Hotels
card_116,USA,Airbnb,983.66,Hotels
card_478,USA,United Airlines,818.94,Travel
card_84,USA,McDonalds,22.17,Restaurants
card_242,USA,Spotify,48.58,Streaming
card_266,USA,Nordstrom,799.72,Retail
card_440,USA,Chick-fil-A,94.92,Restaurants
card_283,USA,Zara,980.07,Retail
card_81,USA,Expedia,922.73,Hotels
card_399,USA,The Home Depot,584.51,Retail
card_488,USA,McDonalds,226.94,Restaurants
card_2,USA,ExxonMobil,168.0,Energy
card_145,USA,Walmart,200.38,Groceries
card_253,USA,Google,727.67,Technology
card_487,USA,Saks Fifth Avenue,341.58,Retail
card_419,GBR,Tesco,279.14,Groceries
card_331,USA,Walgreens,228.49,Retail
card_398,USA,Saks Fifth Avenue,375.31,Retail
card_341,USA,Chipotle,135.3,Restaurants
card_23,USA,PayPal,2253.08,Technology
card_88,USA,Dominos Pizza,187.75,Restaurants
card_92,USA,Expedia,1417.46,Hotels
card_497,USA,Amazon,15.83,E-commerce
card_205,USA,Universal Parks,10.47,Streaming
card_38,USA,Five Guys,67.27,Restaurants
card_48,USA,United Airlines,1336.04,Travel
card_427,USA,Regal Cinemas,34.06,Streaming
card_490,USA,Bed Bath & Beyond,289.48,Retail
card_483,USA,Bed Bath & Beyond,816.87,Retail
card_467,USA,Papa Johns,259.8,Restaurants
card_446,USA,Booking.com,1277.45,Hotels
card_9,USA,Hyatt,1382.44,Hotels
card_492,USA,Taco Bell,83.15,Restaurants
card_55,JPN,Toyota,3799.71,Automotive
card_100,USA,Delta Air Lines,717.78,Travel
card_231,USA,Trader Joes,254.18,Groceries
card_297,USA,Marriott International,1106.31,Hotels
card_281,USA,Pizza Hut,235.17,Restaurants
card_388,USA,Best Buy,657.88,Retail
